date,gbm
10/31/16,2282.498106
11/1/16,2283.745239
11/2/16,2285.921966
11/3/16,2286.993421
11/4/16,2288.23056
11/7/16,2289.464519
11/8/16,2291.124314
11/9/16,2292.764788
11/10/16,2290.802178
11/11/16,2294.060185
11/14/16,2294.636709
11/15/16,2294.128685
11/16/16,2295.895994
11/17/16,2297.507078
11/18/16,2296.647062
11/21/16,2297.64394
11/22/16,2298.887256
11/23/16,2302.792569
11/25/16,2302.227702
11/28/16,2301.113368
11/29/16,2301.96274
11/30/16,2302.860707
